,Year,Series,Value
Australia,2018,Consumer price index: Food,110.2842
Austria,1995,Consumer price index: General,77.06
Austria,2005,Consumer price index: General,91.3527
Austria,2010,Consumer price index: General,100
Austria,2015,Consumer price index: General,110.6757
Austria,2016,Consumer price index: General,111.7
Austria,2017,Consumer price index: General,114
Austria,2018,Consumer price index: General,116.3
Austria,1995,Consumer price index: Food,76.3598
Austria,2005,Consumer price index: Food,88.0558
Austria,2010,Consumer price index: Food,100
Austria,2015,Consumer price index: Food,114.4167
Austria,2016,Consumer price index: Food,115.2
Austria,2017,Consumer price index: Food,118
Austria,2018,Consumer price index: Food,119.7
Azerbaijan,1995,Consumer price index: General,42.6677
Azerbaijan,2005,Consumer price index: General,61.1464
Azerbaijan,2010,Consumer price index: General,100
Azerbaijan,2015,Consumer price index: General,117.7309
Azerbaijan,2016,Consumer price index: General,132.3878
Azerbaijan,2017,Consumer price index: General,149.4723
Azerbaijan,2018,Consumer price index: General,152.9
Azerbaijan,2010,Consumer price index: Food,100
Azerbaijan,2015,Consumer price index: Food,119.5773
Azerbaijan,2016,Consumer price index: Food,136.2348
Azerbaijan,2017,Consumer price index: Food,159.7667
Azerbaijan,2018,Consumer price index: Food,162.9583
Bahamas,1995,Consumer price index: General,75.2891
Bahamas,2005,Consumer price index: General,88.1683
Bahamas,2010,Consumer price index: General,100
Bahamas,2015,Consumer price index: General,109.603
Bahamas,2016,Consumer price index: General,109.2233
Bahamas,2017,Consumer price index: General,110.8816
Bahamas,2018,Consumer price index: General,113.394
Bahamas,2015,Consumer price index: Food,106.4692
Bahrain,1995,Consumer price index: General,83.7908
Bahrain,2005,Consumer price index: General,87.4961
Bahrain,2010,Consumer price index: General,100
Bahrain,2015,Consumer price index: General,110.5615
Bahrain,2016,Consumer price index: General,113.6556
Bahrain,2017,Consumer price index: General,115.2324
Bahrain,2018,Consumer price index: General,117.6348
Bahrain,2010,Consumer price index: Food,100
Bahrain,2015,Consumer price index: Food,114.4564
Bahrain,2016,Consumer price index: Food,115.9
Bahrain,2017,Consumer price index: Food,117.0911
Bahrain,2018,Consumer price index: Food,119.5749
Bangladesh,1995,Consumer price index: General,42.5345
Bangladesh,2005,Consumer price index: General,69.1531
Bangladesh,2010,Consumer price index: General,100
Bangladesh,2015,Consumer price index: General,144.4778
Bangladesh,2016,Consumer price index: General,152.4436
Bangladesh,2017,Consumer price index: General,161.136
Bangladesh,2016,Consumer price index: Food,239.1233
Bangladesh,2017,Consumer price index: Food,257.9225
Barbados,2015,Consumer price index: General,167.5521
Barbados,2016,Consumer price index: General,169.7
Barbados,2017,Consumer price index: General,177.6083
Barbados,2018,Consumer price index: General,184.1333
Barbados,2015,Consumer price index: Food,200.725
Barbados,2016,Consumer price index: Food,217.4583
Barbados,2017,Consumer price index: Food,230.925
Barbados,2018,Consumer price index: Food,234.5667
Belarus,1995,Consumer price index: General,0.3506
Belarus,2005,Consumer price index: General,61.6669
Belarus,2010,Consumer price index: General,100
Belarus,2015,Consumer price index: General,386.9691
Belarus,2016,Consumer price index: General,433.0625
Belarus,2017,Consumer price index: General,459.0252
Belarus,2018,Consumer price index: General,480.0554
Belarus,2010,Consumer price index: Food,100
Belarus,2015,Consumer price index: Food,389.8641
Belarus,2016,Consumer price index: Food,424.0742
Belarus,2018,Consumer price index: Food,470.9885
Belgium,1995,Consumer price index: General,74.9955
Belgium,2005,Consumer price index: General,90.4121
Belgium,2010,Consumer price index: General,100
Belgium,2015,Consumer price index: General,108.6297
Belgium,2016,Consumer price index: General,110.7739
Belgium,2017,Consumer price index: General,112.8149
Belgium,2018,Consumer price index: General,115.4516
Belgium,1995,Consumer price index: Food,71.8858
Belgium,2005,Consumer price index: Food,86.2906
Belgium,2010,Consumer price index: Food,100
Belgium,2015,Consumer price index: Food,110.4284
Belgium,2016,Consumer price index: Food,112.9035
Belgium,2017,Consumer price index: Food,114.327
Belgium,2018,Consumer price index: Food,116.7966
Belize,1995,Consumer price index: General,73.5288
Belize,2005,Consumer price index: General,88.2973
Belize,2010,Consumer price index: General,100
Belize,2015,Consumer price index: General,103.789
Belize,2016,Consumer price index: General,104.4775
Belize,2017,Consumer price index: General,105.6766
Belize,2018,Consumer price index: General,105.9616
Belize,1995,Consumer price index: Food,73.9871
Belize,2005,Consumer price index: Food,82.7093
Belize,2010,Consumer price index: Food,100
Belize,2015,Consumer price index: Food,104.7552
Belize,2016,Consumer price index: Food,104.8327
Belize,2017,Consumer price index: Food,103.6466
