,Year,Series,Value
Argentina,2014,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",200.4
Argentina,2007,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",116.6
Argentina,2008,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",112.9
Argentina,2009,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",112.6
Argentina,2010,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",136.8
Argentina,2011,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",156.4
Argentina,2012,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",158.5
Argentina,2013,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",170.5
Argentina,2014,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",173.9
Argentina,2007,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",115.9
Argentina,2008,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",120.9
Argentina,2009,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",130.7
Argentina,2010,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",138.9
Argentina,2011,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",146.9
Argentina,2012,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",152
Argentina,2013,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",155.2
Argentina,2014,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",155.2
Argentina,2007,Index of industrial production: Basic metals (Index base: 2005=100),111.7
Argentina,2008,Index of industrial production: Basic metals (Index base: 2005=100),122.9
Argentina,2009,Index of industrial production: Basic metals (Index base: 2005=100),104.2
Argentina,2010,Index of industrial production: Basic metals (Index base: 2005=100),127.3
Argentina,2011,Index of industrial production: Basic metals (Index base: 2005=100),150.2
Argentina,2012,Index of industrial production: Basic metals (Index base: 2005=100),137.2
Argentina,2013,Index of industrial production: Basic metals (Index base: 2005=100),140.7
Argentina,2014,Index of industrial production: Basic metals (Index base: 2005=100),144.7
Argentina,2007,Index of industrial production: Metal products and machinery (Index Base: 2005=100),133
Argentina,2008,Index of industrial production: Metal products and machinery (Index Base: 2005=100),137.8
Argentina,2009,Index of industrial production: Metal products and machinery (Index Base: 2005=100),119.2
Argentina,2010,Index of industrial production: Metal products and machinery (Index Base: 2005=100),149.1
Argentina,2011,Index of industrial production: Metal products and machinery (Index Base: 2005=100),175.3
Argentina,2012,Index of industrial production: Metal products and machinery (Index Base: 2005=100),161.6
Argentina,2013,Index of industrial production: Metal products and machinery (Index Base: 2005=100),156.8
Argentina,2014,Index of industrial production: Metal products and machinery (Index Base: 2005=100),137.2
Argentina,2007,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",108.3
Argentina,2008,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",115.3
Argentina,2009,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",114.8
Argentina,2010,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",119.3
Argentina,2011,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",124.9
Argentina,2012,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",129.7
Argentina,2013,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",133.8
Argentina,2014,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",135.3
Armenia,2007,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",101.7
Armenia,2008,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",103.4
Armenia,2009,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",95.7
Armenia,2010,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",104.9
Armenia,2007,Index of industrial production: Mining (Index base: 2005=100),109.7
Armenia,2008,Index of industrial production: Mining (Index base: 2005=100),109.5
Armenia,2009,Index of industrial production: Mining (Index base: 2005=100),121.2
Armenia,2010,Index of industrial production: Mining (Index base: 2005=100),149.8
Armenia,2007,Index of industrial production: Manufacturing (Index base: 2005=100),99.4
Armenia,2008,Index of industrial production: Manufacturing (Index base: 2005=100),100
Armenia,2009,Index of industrial production: Manufacturing (Index base: 2005=100),91.2
Armenia,2010,Index of industrial production: Manufacturing (Index base: 2005=100),101.7
Armenia,2007,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",109.8
Armenia,2008,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",117.3
Armenia,2009,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",111.8
Armenia,2010,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",128.4
Armenia,2007,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",106.4
Armenia,2008,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",106.4
Armenia,2009,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",82.1
Armenia,2010,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",95.8
Armenia,2007,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",117.7
Armenia,2008,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",108.8
Armenia,2009,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",91.9
Armenia,2010,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",90.4
Armenia,2007,Index of industrial production: Basic metals (Index base: 2005=100),119.3
Armenia,2008,Index of industrial production: Basic metals (Index base: 2005=100),108
Armenia,2009,Index of industrial production: Basic metals (Index base: 2005=100),129.9
Armenia,2010,Index of industrial production: Basic metals (Index base: 2005=100),138.2
Armenia,2007,Index of industrial production: Metal products and machinery (Index Base: 2005=100),146.6
Armenia,2008,Index of industrial production: Metal products and machinery (Index Base: 2005=100),161.4
Armenia,2009,Index of industrial production: Metal products and machinery (Index Base: 2005=100),131.2
Armenia,2010,Index of industrial production: Metal products and machinery (Index Base: 2005=100),153.1
Armenia,2007,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",105.4
Armenia,2008,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",109.5
Armenia,2009,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",95
Armenia,2010,"Index of industrial production: Electricity, gas and water (Index base: 2005=100)",86.1
Australia,2007,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",105.2
Australia,2008,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",108.2
Australia,2009,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",107.6
Australia,2010,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",111.1
Australia,2011,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",112.4
Australia,2012,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",116.3
Australia,2013,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",119.3
Australia,2014,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",123.4
Australia,2007,Index of industrial production: Mining (Index base: 2005=100),111.2
Australia,2008,Index of industrial production: Mining (Index base: 2005=100),114.2
Australia,2009,Index of industrial production: Mining (Index base: 2005=100),117.8
Australia,2010,Index of industrial production: Mining (Index base: 2005=100),126.9
Australia,2011,Index of industrial production: Mining (Index base: 2005=100),129.3
Australia,2012,Index of industrial production: Mining (Index base: 2005=100),138.9
Australia,2013,Index of industrial production: Mining (Index base: 2005=100),150.9
Australia,2014,Index of industrial production: Mining (Index base: 2005=100),166.5
Australia,2007,Index of industrial production: Manufacturing (Index base: 2005=100),101.7
Australia,2008,Index of industrial production: Manufacturing (Index base: 2005=100),105.6
Australia,2009,Index of industrial production: Manufacturing (Index base: 2005=100),100.1
Australia,2010,Index of industrial production: Manufacturing (Index base: 2005=100),100.5
Australia,2011,Index of industrial production: Manufacturing (Index base: 2005=100),100.3
Australia,2012,Index of industrial production: Manufacturing (Index base: 2005=100),101.1
Australia,2013,Index of industrial production: Manufacturing (Index base: 2005=100),98.5
Australia,2014,Index of industrial production: Manufacturing (Index base: 2005=100),96.7
Australia,2007,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",100.4
Australia,2008,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",100.7
Australia,2009,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",97.1
Australia,2010,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",100.2
Australia,2011,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",100.1
Australia,2012,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",102.2
Australia,2013,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",104.3
Australia,2014,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",104.4
Australia,2007,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",97.9
Australia,2008,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",96.8
Australia,2009,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",85.6
Australia,2010,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",57
Australia,2011,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",54.7
Australia,2012,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",52.4
Australia,2013,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",50.1
Australia,2014,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",53.2
Australia,2007,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",94.7
Australia,2008,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",95
Australia,2009,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",84.6
Australia,2010,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",89.5
Australia,2011,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",89
Australia,2012,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",91.9
Australia,2013,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",85.1
Australia,2014,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",78.5
Australia,2007,Index of industrial production: Basic metals (Index base: 2005=100),126.1
Australia,2008,Index of industrial production: Basic metals (Index base: 2005=100),149.2
Australia,2009,Index of industrial production: Basic metals (Index base: 2005=100),153.6
Australia,2010,Index of industrial production: Basic metals (Index base: 2005=100),141.6
Australia,2011,Index of industrial production: Basic metals (Index base: 2005=100),148.2
Australia,2012,Index of industrial production: Basic metals (Index base: 2005=100),150.3
Australia,2013,Index of industrial production: Basic metals (Index base: 2005=100),134.9
Australia,2014,Index of industrial production: Basic metals (Index base: 2005=100),128.7
Australia,2007,Index of industrial production: Metal products and machinery (Index Base: 2005=100),99.2
Australia,2008,Index of industrial production: Metal products and machinery (Index Base: 2005=100),101.7
Australia,2009,Index of industrial production: Metal products and machinery (Index Base: 2005=100),96.7
Australia,2010,Index of industrial production: Metal products and machinery (Index Base: 2005=100),100.3
Australia,2011,Index of industrial production: Metal products and machinery (Index Base: 2005=100),100.7
Australia,2012,Index of industrial production: Metal products and machinery (Index Base: 2005=100),104.5
Australia,2013,Index of industrial production: Metal products and machinery (Index Base: 2005=100),101.5
Australia,2014,Index of industrial production: Metal products and machinery (Index Base: 2005=100),98.4
Australia,2007,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",104.2
Australia,2008,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",106.9
Australia,2009,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",111.8
Australia,2010,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",111.9
Australia,2011,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",112.6
Australia,2012,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",111.1
Australia,2013,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",110.6
Australia,2014,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",108.3
Australia,2007,Index of industrial production: Water and waste management (Index base: 2005=100),99.6
Australia,2008,Index of industrial production: Water and waste management (Index base: 2005=100),95.1
Australia,2009,Index of industrial production: Water and waste management (Index base: 2005=100),98.1
Australia,2010,Index of industrial production: Water and waste management (Index base: 2005=100),100.9
Australia,2011,Index of industrial production: Water and waste management (Index base: 2005=100),107.6
Australia,2012,Index of industrial production: Water and waste management (Index base: 2005=100),111.9
Australia,2013,Index of industrial production: Water and waste management (Index base: 2005=100),114.7
Australia,2014,Index of industrial production: Water and waste management (Index base: 2005=100),109.6
Austria,2007,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",113.2
Austria,2008,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",116.4
Austria,2009,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",102.9
Austria,2010,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",110.3
Austria,2011,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",116.4
Austria,2012,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",118.1
Austria,2013,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",118.8
Austria,2014,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",118.6
