,Year,Series,Value
Angola,2014,Emissions per capita (metric tons of carbon dioxide),1.4
Anguilla,1995,Emissions (thousand metric tons of carbon dioxide),66
Anguilla,2005,Emissions (thousand metric tons of carbon dioxide),128
Anguilla,2010,Emissions (thousand metric tons of carbon dioxide),150
Anguilla,2012,Emissions (thousand metric tons of carbon dioxide),143
Anguilla,2013,Emissions (thousand metric tons of carbon dioxide),136
Anguilla,2014,Emissions (thousand metric tons of carbon dioxide),143
Anguilla,1995,Emissions per capita (metric tons of carbon dioxide),6.9
Anguilla,2005,Emissions per capita (metric tons of carbon dioxide),9.5
Anguilla,2010,Emissions per capita (metric tons of carbon dioxide),10.9
Anguilla,2012,Emissions per capita (metric tons of carbon dioxide),10
Anguilla,2013,Emissions per capita (metric tons of carbon dioxide),9.5
Anguilla,2014,Emissions per capita (metric tons of carbon dioxide),9.8
Antigua and Barbuda,1975,Emissions (thousand metric tons of carbon dioxide),708
Antigua and Barbuda,1985,Emissions (thousand metric tons of carbon dioxide),249
Antigua and Barbuda,1995,Emissions (thousand metric tons of carbon dioxide),275
Antigua and Barbuda,2005,Emissions (thousand metric tons of carbon dioxide),429
Antigua and Barbuda,2010,Emissions (thousand metric tons of carbon dioxide),524
Antigua and Barbuda,2012,Emissions (thousand metric tons of carbon dioxide),524
Antigua and Barbuda,2013,Emissions (thousand metric tons of carbon dioxide),524
Antigua and Barbuda,2014,Emissions (thousand metric tons of carbon dioxide),532
Antigua and Barbuda,1975,Emissions per capita (metric tons of carbon dioxide),10.2
Antigua and Barbuda,1985,Emissions per capita (metric tons of carbon dioxide),3.8
Antigua and Barbuda,1995,Emissions per capita (metric tons of carbon dioxide),4
Antigua and Barbuda,2005,Emissions per capita (metric tons of carbon dioxide),5.1
Antigua and Barbuda,2010,Emissions per capita (metric tons of carbon dioxide),6
Antigua and Barbuda,2012,Emissions per capita (metric tons of carbon dioxide),5.9
Antigua and Barbuda,2013,Emissions per capita (metric tons of carbon dioxide),5.8
Antigua and Barbuda,2014,Emissions per capita (metric tons of carbon dioxide),5.8
Argentina,1975,Emissions (thousand metric tons of carbon dioxide),"94,931"
Argentina,1985,Emissions (thousand metric tons of carbon dioxide),"100,597"
Argentina,1995,Emissions (thousand metric tons of carbon dioxide),"127,964"
Argentina,2005,Emissions (thousand metric tons of carbon dioxide),"162,111"
Argentina,2010,Emissions (thousand metric tons of carbon dioxide),"187,919"
Argentina,2012,Emissions (thousand metric tons of carbon dioxide),"192,356"
Argentina,2013,Emissions (thousand metric tons of carbon dioxide),"189,852"
Argentina,2014,Emissions (thousand metric tons of carbon dioxide),"204,025"
Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.6
Argentina,1985,Emissions per capita (metric tons of carbon dioxide),3.3
Argentina,1995,Emissions per capita (metric tons of carbon dioxide),3.7
Argentina,2005,Emissions per capita (metric tons of carbon dioxide),4.2
Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4.5
Argentina,2012,Emissions per capita (metric tons of carbon dioxide),4.6
Argentina,2013,Emissions per capita (metric tons of carbon dioxide),4.5
Argentina,2014,Emissions per capita (metric tons of carbon dioxide),4.7
Armenia,1995,Emissions (thousand metric tons of carbon dioxide),"3,410"
Armenia,2005,Emissions (thousand metric tons of carbon dioxide),"4,353"
Armenia,2010,Emissions (thousand metric tons of carbon dioxide),"4,217"
Armenia,2012,Emissions (thousand metric tons of carbon dioxide),"5,695"
Armenia,2013,Emissions (thousand metric tons of carbon dioxide),"5,497"
Armenia,2014,Emissions (thousand metric tons of carbon dioxide),"5,530"
Armenia,1995,Emissions per capita (metric tons of carbon dioxide),1.1
Armenia,2005,Emissions per capita (metric tons of carbon dioxide),1.4
Armenia,2010,Emissions per capita (metric tons of carbon dioxide),1.4
Armenia,2012,Emissions per capita (metric tons of carbon dioxide),1.9
Armenia,2013,Emissions per capita (metric tons of carbon dioxide),1.8
Armenia,2014,Emissions per capita (metric tons of carbon dioxide),1.8
Aruba,1995,Emissions (thousand metric tons of carbon dioxide),"1,668"
Aruba,2005,Emissions (thousand metric tons of carbon dioxide),"2,721"
Aruba,2010,Emissions (thousand metric tons of carbon dioxide),"2,508"
Aruba,2012,Emissions (thousand metric tons of carbon dioxide),"1,349"
Aruba,2013,Emissions (thousand metric tons of carbon dioxide),862
Aruba,2014,Emissions (thousand metric tons of carbon dioxide),873
Aruba,1995,Emissions per capita (metric tons of carbon dioxide),20.8
Aruba,2005,Emissions per capita (metric tons of carbon dioxide),26.9
Aruba,2010,Emissions per capita (metric tons of carbon dioxide),24.7
Aruba,2012,Emissions per capita (metric tons of carbon dioxide),13.2
Aruba,2013,Emissions per capita (metric tons of carbon dioxide),8.4
Aruba,2014,Emissions per capita (metric tons of carbon dioxide),8.4
Australia,1975,Emissions (thousand metric tons of carbon dioxide),"175,884"
Australia,1985,Emissions (thousand metric tons of carbon dioxide),"241,230"
Australia,1995,Emissions (thousand metric tons of carbon dioxide),"281,860"
Australia,2005,Emissions (thousand metric tons of carbon dioxide),"350,173"
Australia,2010,Emissions (thousand metric tons of carbon dioxide),"390,862"
Australia,2012,Emissions (thousand metric tons of carbon dioxide),"388,126"
Australia,2013,Emissions (thousand metric tons of carbon dioxide),"372,267"
Australia,2014,Emissions (thousand metric tons of carbon dioxide),"361,262"
Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.7
Australia,1985,Emissions per capita (metric tons of carbon dioxide),15.3
Australia,1995,Emissions per capita (metric tons of carbon dioxide),15.5
Australia,2005,Emissions per capita (metric tons of carbon dioxide),17.2
Australia,2010,Emissions per capita (metric tons of carbon dioxide),17.6
Australia,2012,Emissions per capita (metric tons of carbon dioxide),16.9
Australia,2013,Emissions per capita (metric tons of carbon dioxide),16
Australia,2014,Emissions per capita (metric tons of carbon dioxide),15.3
Austria,1975,Emissions (thousand metric tons of carbon dioxide),"54,393"
Austria,1985,Emissions (thousand metric tons of carbon dioxide),"54,701"
Austria,1995,Emissions (thousand metric tons of carbon dioxide),"59,783"
Austria,2005,Emissions (thousand metric tons of carbon dioxide),"74,216"
Austria,2010,Emissions (thousand metric tons of carbon dioxide),"67,502"
Austria,2012,Emissions (thousand metric tons of carbon dioxide),"62,273"
Austria,2013,Emissions (thousand metric tons of carbon dioxide),"62,486"
Austria,2014,Emissions (thousand metric tons of carbon dioxide),"58,712"
Austria,1975,Emissions per capita (metric tons of carbon dioxide),7.2
Austria,1985,Emissions per capita (metric tons of carbon dioxide),7.2
Austria,1995,Emissions per capita (metric tons of carbon dioxide),7.5
Austria,2005,Emissions per capita (metric tons of carbon dioxide),9
Austria,2010,Emissions per capita (metric tons of carbon dioxide),8
Austria,2012,Emissions per capita (metric tons of carbon dioxide),7.4
Austria,2013,Emissions per capita (metric tons of carbon dioxide),7.4
Austria,2014,Emissions per capita (metric tons of carbon dioxide),6.9
Azerbaijan,1995,Emissions (thousand metric tons of carbon dioxide),"33,333"
Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),"34,338"
Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),"30,678"
Azerbaijan,2012,Emissions (thousand metric tons of carbon dioxide),"35,555"
Azerbaijan,2013,Emissions (thousand metric tons of carbon dioxide),"35,643"
Azerbaijan,2014,Emissions (thousand metric tons of carbon dioxide),"37,488"
Azerbaijan,1995,Emissions per capita (metric tons of carbon dioxide),4.3
Azerbaijan,2005,Emissions per capita (metric tons of carbon dioxide),4
Azerbaijan,2010,Emissions per capita (metric tons of carbon dioxide),3.4
Azerbaijan,2012,Emissions per capita (metric tons of carbon dioxide),3.8
Azerbaijan,2013,Emissions per capita (metric tons of carbon dioxide),3.7
Azerbaijan,2014,Emissions per capita (metric tons of carbon dioxide),3.9
Bahamas,1975,Emissions (thousand metric tons of carbon dioxide),"8,254"
Bahamas,1985,Emissions (thousand metric tons of carbon dioxide),"1,511"
Bahamas,1995,Emissions (thousand metric tons of carbon dioxide),"1,683"
Bahamas,2005,Emissions (thousand metric tons of carbon dioxide),"1,742"
Bahamas,2010,Emissions (thousand metric tons of carbon dioxide),"1,654"
Bahamas,2012,Emissions (thousand metric tons of carbon dioxide),"1,969"
Bahamas,2013,Emissions (thousand metric tons of carbon dioxide),"2,802"
Bahamas,2014,Emissions (thousand metric tons of carbon dioxide),"2,417"
Bahamas,1975,Emissions per capita (metric tons of carbon dioxide),43.7
Bahamas,1985,Emissions per capita (metric tons of carbon dioxide),6.5
Bahamas,1995,Emissions per capita (metric tons of carbon dioxide),6
Bahamas,2005,Emissions per capita (metric tons of carbon dioxide),5.5
Bahamas,2010,Emissions per capita (metric tons of carbon dioxide),4.6
Bahamas,2012,Emissions per capita (metric tons of carbon dioxide),5.3
Bahamas,2013,Emissions per capita (metric tons of carbon dioxide),7.4
Bahamas,2014,Emissions per capita (metric tons of carbon dioxide),6.3
Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),"5,754"
Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),"10,194"
Bahrain,1995,Emissions (thousand metric tons of carbon dioxide),"14,818"
Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),"19,208"
Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),"29,266"
Bahrain,2012,Emissions (thousand metric tons of carbon dioxide),"26,674"
Bahrain,2013,Emissions (thousand metric tons of carbon dioxide),"31,313"
Bahrain,2014,Emissions (thousand metric tons of carbon dioxide),"31,338"
Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),21.7
Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),24.5
Bahrain,1995,Emissions per capita (metric tons of carbon dioxide),26.5
Bahrain,2005,Emissions per capita (metric tons of carbon dioxide),26.5
Bahrain,2010,Emissions per capita (metric tons of carbon dioxide),23.2
Bahrain,2012,Emissions per capita (metric tons of carbon dioxide),20
Bahrain,2013,Emissions per capita (metric tons of carbon dioxide),23.2
