,Year,Series,Value
"China, Macao SAR",1975,Emissions (thousand metric tons of carbon dioxide),297
"China, Macao SAR",1985,Emissions (thousand metric tons of carbon dioxide),733
"China, Macao SAR",1995,Emissions (thousand metric tons of carbon dioxide),"1,232"
"China, Macao SAR",2005,Emissions (thousand metric tons of carbon dioxide),"1,830"
"China, Macao SAR",2010,Emissions (thousand metric tons of carbon dioxide),"1,408"
"China, Macao SAR",2012,Emissions (thousand metric tons of carbon dioxide),"1,313"
"China, Macao SAR",2013,Emissions (thousand metric tons of carbon dioxide),"1,181"
"China, Macao SAR",2014,Emissions (thousand metric tons of carbon dioxide),"1,283"
"China, Macao SAR",1975,Emissions per capita (metric tons of carbon dioxide),1.2
"China, Macao SAR",1985,Emissions per capita (metric tons of carbon dioxide),2.5
"China, Macao SAR",1995,Emissions per capita (metric tons of carbon dioxide),3.1
"China, Macao SAR",2005,Emissions per capita (metric tons of carbon dioxide),3.8
"China, Macao SAR",2010,Emissions per capita (metric tons of carbon dioxide),2.6
"China, Macao SAR",2012,Emissions per capita (metric tons of carbon dioxide),2.3
"China, Macao SAR",2013,Emissions per capita (metric tons of carbon dioxide),2.1
"China, Macao SAR",2014,Emissions per capita (metric tons of carbon dioxide),2.2
Colombia,1975,Emissions (thousand metric tons of carbon dioxide),"35,896"
Colombia,1985,Emissions (thousand metric tons of carbon dioxide),"48,379"
Colombia,1995,Emissions (thousand metric tons of carbon dioxide),"59,614"
Colombia,2005,Emissions (thousand metric tons of carbon dioxide),"60,946"
Colombia,2010,Emissions (thousand metric tons of carbon dioxide),"76,175"
Colombia,2012,Emissions (thousand metric tons of carbon dioxide),"79,952"
Colombia,2013,Emissions (thousand metric tons of carbon dioxide),"89,625"
Colombia,2014,Emissions (thousand metric tons of carbon dioxide),"84,092"
Colombia,1975,Emissions per capita (metric tons of carbon dioxide),1.5
Colombia,1985,Emissions per capita (metric tons of carbon dioxide),1.6
Colombia,1995,Emissions per capita (metric tons of carbon dioxide),1.7
Colombia,2005,Emissions per capita (metric tons of carbon dioxide),1.4
Colombia,2010,Emissions per capita (metric tons of carbon dioxide),1.7
Colombia,2012,Emissions per capita (metric tons of carbon dioxide),1.7
Colombia,2013,Emissions per capita (metric tons of carbon dioxide),1.9
Colombia,2014,Emissions per capita (metric tons of carbon dioxide),1.8
Comoros,1975,Emissions (thousand metric tons of carbon dioxide),33
Comoros,1985,Emissions (thousand metric tons of carbon dioxide),48
Comoros,1995,Emissions (thousand metric tons of carbon dioxide),73
Comoros,2005,Emissions (thousand metric tons of carbon dioxide),139
Comoros,2010,Emissions (thousand metric tons of carbon dioxide),161
Comoros,2012,Emissions (thousand metric tons of carbon dioxide),143
Comoros,2013,Emissions (thousand metric tons of carbon dioxide),176
Comoros,2014,Emissions (thousand metric tons of carbon dioxide),154
Comoros,1975,Emissions per capita (metric tons of carbon dioxide),0.1
Comoros,1985,Emissions per capita (metric tons of carbon dioxide),0.1
Comoros,1995,Emissions per capita (metric tons of carbon dioxide),0.1
Comoros,2005,Emissions per capita (metric tons of carbon dioxide),0.2
Comoros,2010,Emissions per capita (metric tons of carbon dioxide),0.2
Comoros,2012,Emissions per capita (metric tons of carbon dioxide),0.2
Comoros,2013,Emissions per capita (metric tons of carbon dioxide),0.2
Comoros,2014,Emissions per capita (metric tons of carbon dioxide),0.2
Congo,1975,Emissions (thousand metric tons of carbon dioxide),"1,100"
Congo,1985,Emissions (thousand metric tons of carbon dioxide),"1,280"
Congo,1995,Emissions (thousand metric tons of carbon dioxide),"1,566"
Congo,2005,Emissions (thousand metric tons of carbon dioxide),983
Congo,2010,Emissions (thousand metric tons of carbon dioxide),"1,980"
Congo,2012,Emissions (thousand metric tons of carbon dioxide),"2,970"
Congo,2013,Emissions (thousand metric tons of carbon dioxide),"3,088"
Congo,2014,Emissions (thousand metric tons of carbon dioxide),"3,095"
Congo,1975,Emissions per capita (metric tons of carbon dioxide),0.7
Congo,1985,Emissions per capita (metric tons of carbon dioxide),0.6
Congo,1995,Emissions per capita (metric tons of carbon dioxide),0.6
Congo,2005,Emissions per capita (metric tons of carbon dioxide),0.3
Congo,2010,Emissions per capita (metric tons of carbon dioxide),0.5
Congo,2012,Emissions per capita (metric tons of carbon dioxide),0.7
Congo,2013,Emissions per capita (metric tons of carbon dioxide),0.7
Congo,2014,Emissions per capita (metric tons of carbon dioxide),0.7
Cook Islands,1975,Emissions (thousand metric tons of carbon dioxide),15
Cook Islands,1985,Emissions (thousand metric tons of carbon dioxide),22
Cook Islands,1995,Emissions (thousand metric tons of carbon dioxide),40
Cook Islands,2005,Emissions (thousand metric tons of carbon dioxide),62
Cook Islands,2010,Emissions (thousand metric tons of carbon dioxide),70
Cook Islands,2012,Emissions (thousand metric tons of carbon dioxide),70
Cook Islands,2013,Emissions (thousand metric tons of carbon dioxide),70
Cook Islands,2014,Emissions (thousand metric tons of carbon dioxide),70
Cook Islands,1975,Emissions per capita (metric tons of carbon dioxide),0.8
Cook Islands,1985,Emissions per capita (metric tons of carbon dioxide),1.2
Cook Islands,1995,Emissions per capita (metric tons of carbon dioxide),2.2
Cook Islands,2005,Emissions per capita (metric tons of carbon dioxide),3.2
Cook Islands,2010,Emissions per capita (metric tons of carbon dioxide),3.5
Cook Islands,2012,Emissions per capita (metric tons of carbon dioxide),3.4
Cook Islands,2013,Emissions per capita (metric tons of carbon dioxide),3.4
Cook Islands,2014,Emissions per capita (metric tons of carbon dioxide),3.4
Costa Rica,1975,Emissions (thousand metric tons of carbon dioxide),"2,039"
Costa Rica,1985,Emissions (thousand metric tons of carbon dioxide),"2,266"
Costa Rica,1995,Emissions (thousand metric tons of carbon dioxide),"4,866"
Costa Rica,2005,Emissions (thousand metric tons of carbon dioxide),"6,868"
Costa Rica,2010,Emissions (thousand metric tons of carbon dioxide),"7,569"
Costa Rica,2012,Emissions (thousand metric tons of carbon dioxide),"7,767"
Costa Rica,2013,Emissions (thousand metric tons of carbon dioxide),"7,598"
Costa Rica,2014,Emissions (thousand metric tons of carbon dioxide),"7,759"
Costa Rica,1975,Emissions per capita (metric tons of carbon dioxide),1
Costa Rica,1985,Emissions per capita (metric tons of carbon dioxide),0.8
Costa Rica,1995,Emissions per capita (metric tons of carbon dioxide),1.4
Costa Rica,2005,Emissions per capita (metric tons of carbon dioxide),1.6
Costa Rica,2010,Emissions per capita (metric tons of carbon dioxide),1.7
Costa Rica,2012,Emissions per capita (metric tons of carbon dioxide),1.7
Costa Rica,2013,Emissions per capita (metric tons of carbon dioxide),1.6
Costa Rica,2014,Emissions per capita (metric tons of carbon dioxide),1.6
Côte d'Ivoire,1975,Emissions (thousand metric tons of carbon dioxide),"3,990"
Côte d'Ivoire,1985,Emissions (thousand metric tons of carbon dioxide),"7,327"
Côte d'Ivoire,1995,Emissions (thousand metric tons of carbon dioxide),"6,619"
Côte d'Ivoire,2005,Emissions (thousand metric tons of carbon dioxide),"7,825"
Côte d'Ivoire,2010,Emissions (thousand metric tons of carbon dioxide),"6,967"
Côte d'Ivoire,2012,Emissions (thousand metric tons of carbon dioxide),"9,296"
Côte d'Ivoire,2013,Emissions (thousand metric tons of carbon dioxide),"10,686"
Côte d'Ivoire,2014,Emissions (thousand metric tons of carbon dioxide),"11,045"
Côte d'Ivoire,1975,Emissions per capita (metric tons of carbon dioxide),0.6
Côte d'Ivoire,1985,Emissions per capita (metric tons of carbon dioxide),0.7
Côte d'Ivoire,1995,Emissions per capita (metric tons of carbon dioxide),0.4
Côte d'Ivoire,2005,Emissions per capita (metric tons of carbon dioxide),0.4
Côte d'Ivoire,2010,Emissions per capita (metric tons of carbon dioxide),0.3
Côte d'Ivoire,2012,Emissions per capita (metric tons of carbon dioxide),0.4
Côte d'Ivoire,2013,Emissions per capita (metric tons of carbon dioxide),0.5
Côte d'Ivoire,2014,Emissions per capita (metric tons of carbon dioxide),0.5
Croatia,1995,Emissions (thousand metric tons of carbon dioxide),"16,986"
Croatia,2005,Emissions (thousand metric tons of carbon dioxide),"22,592"
Croatia,2010,Emissions (thousand metric tons of carbon dioxide),"20,172"
Croatia,2012,Emissions (thousand metric tons of carbon dioxide),"17,994"
Croatia,2013,Emissions (thousand metric tons of carbon dioxide),"17,550"
Croatia,2014,Emissions (thousand metric tons of carbon dioxide),"16,843"
Croatia,1995,Emissions per capita (metric tons of carbon dioxide),3.6
Croatia,2005,Emissions per capita (metric tons of carbon dioxide),5.1
Croatia,2010,Emissions per capita (metric tons of carbon dioxide),4.7
Croatia,2012,Emissions per capita (metric tons of carbon dioxide),4.2
Croatia,2013,Emissions per capita (metric tons of carbon dioxide),4.1
Croatia,2014,Emissions per capita (metric tons of carbon dioxide),4
Cuba,1975,Emissions (thousand metric tons of carbon dioxide),"27,066"
Cuba,1985,Emissions (thousand metric tons of carbon dioxide),"32,578"
Cuba,1995,Emissions (thousand metric tons of carbon dioxide),"25,709"
Cuba,2005,Emissions (thousand metric tons of carbon dioxide),"26,006"
Cuba,2010,Emissions (thousand metric tons of carbon dioxide),"38,375"
Cuba,2012,Emissions (thousand metric tons of carbon dioxide),"36,157"
Cuba,2013,Emissions (thousand metric tons of carbon dioxide),"34,800"
Cuba,2014,Emissions (thousand metric tons of carbon dioxide),"34,837"
Cuba,1975,Emissions per capita (metric tons of carbon dioxide),2.9
Cuba,1985,Emissions per capita (metric tons of carbon dioxide),3.2
Cuba,1995,Emissions per capita (metric tons of carbon dioxide),2.3
Cuba,2005,Emissions per capita (metric tons of carbon dioxide),2.3
Cuba,2010,Emissions per capita (metric tons of carbon dioxide),3.4
Cuba,2012,Emissions per capita (metric tons of carbon dioxide),3.2
Cuba,2013,Emissions per capita (metric tons of carbon dioxide),3.1
Cuba,2014,Emissions per capita (metric tons of carbon dioxide),3
Curaçao,2012,Emissions (thousand metric tons of carbon dioxide),"5,999"
Curaçao,2013,Emissions (thousand metric tons of carbon dioxide),"5,214"
Curaçao,2014,Emissions (thousand metric tons of carbon dioxide),"5,882"
Curaçao,2012,Emissions per capita (metric tons of carbon dioxide),39.3
Curaçao,2013,Emissions per capita (metric tons of carbon dioxide),33.8
Curaçao,2014,Emissions per capita (metric tons of carbon dioxide),37.8
Cyprus,1975,Emissions (thousand metric tons of carbon dioxide),"1,980"
Cyprus,1985,Emissions (thousand metric tons of carbon dioxide),"3,102"
Cyprus,1995,Emissions (thousand metric tons of carbon dioxide),"5,383"
Cyprus,2005,Emissions (thousand metric tons of carbon dioxide),"7,503"
Cyprus,2010,Emissions (thousand metric tons of carbon dioxide),"7,708"
Cyprus,2012,Emissions (thousand metric tons of carbon dioxide),"6,920"
Cyprus,2013,Emissions (thousand metric tons of carbon dioxide),"5,948"
Cyprus,2014,Emissions (thousand metric tons of carbon dioxide),"6,062"
Cyprus,1975,Emissions per capita (metric tons of carbon dioxide),3
Cyprus,1985,Emissions per capita (metric tons of carbon dioxide),4.4
Cyprus,1995,Emissions per capita (metric tons of carbon dioxide),6.3
Cyprus,2005,Emissions per capita (metric tons of carbon dioxide),7.3
Cyprus,2010,Emissions per capita (metric tons of carbon dioxide),7
Cyprus,2012,Emissions per capita (metric tons of carbon dioxide),6.1
Cyprus,2013,Emissions per capita (metric tons of carbon dioxide),5.2
Cyprus,2014,Emissions per capita (metric tons of carbon dioxide),5.2
Czechia,1995,Emissions (thousand metric tons of carbon dioxide),"123,831"
Czechia,2005,Emissions (thousand metric tons of carbon dioxide),"120,109"
Czechia,2010,Emissions (thousand metric tons of carbon dioxide),"111,579"
Czechia,2012,Emissions (thousand metric tons of carbon dioxide),"101,030"
Czechia,2013,Emissions (thousand metric tons of carbon dioxide),"98,675"
Czechia,2014,Emissions (thousand metric tons of carbon dioxide),"96,475"
Czechia,1995,Emissions per capita (metric tons of carbon dioxide),12
Czechia,2005,Emissions per capita (metric tons of carbon dioxide),11.7
Czechia,2010,Emissions per capita (metric tons of carbon dioxide),10.6
Czechia,2012,Emissions per capita (metric tons of carbon dioxide),9.6
Czechia,2013,Emissions per capita (metric tons of carbon dioxide),9.4
Czechia,2014,Emissions per capita (metric tons of carbon dioxide),9.2
Dem. People's Rep. Korea,1975,Emissions (thousand metric tons of carbon dioxide),"107,740"
Dem. People's Rep. Korea,1985,Emissions (thousand metric tons of carbon dioxide),"144,898"
Dem. People's Rep. Korea,1995,Emissions (thousand metric tons of carbon dioxide),"82,911"
Dem. People's Rep. Korea,2005,Emissions (thousand metric tons of carbon dioxide),"75,573"
Dem. People's Rep. Korea,2010,Emissions (thousand metric tons of carbon dioxide),"66,453"
Dem. People's Rep. Korea,2012,Emissions (thousand metric tons of carbon dioxide),"49,057"
Dem. People's Rep. Korea,2013,Emissions (thousand metric tons of carbon dioxide),"36,010"
Dem. People's Rep. Korea,2014,Emissions (thousand metric tons of carbon dioxide),"40,528"
Dem. People's Rep. Korea,1975,Emissions per capita (metric tons of carbon dioxide),6.7
Dem. People's Rep. Korea,1985,Emissions per capita (metric tons of carbon dioxide),7.7
Dem. People's Rep. Korea,1995,Emissions per capita (metric tons of carbon dioxide),3.8
Dem. People's Rep. Korea,2005,Emissions per capita (metric tons of carbon dioxide),3.2
Dem. People's Rep. Korea,2010,Emissions per capita (metric tons of carbon dioxide),2.7
Dem. People's Rep. Korea,2012,Emissions per capita (metric tons of carbon dioxide),2
Dem. People's Rep. Korea,2013,Emissions per capita (metric tons of carbon dioxide),1.4
Dem. People's Rep. Korea,2014,Emissions per capita (metric tons of carbon dioxide),1.6
Dem. Rep. of the Congo,1975,Emissions (thousand metric tons of carbon dioxide),"3,238"
Dem. Rep. of the Congo,1985,Emissions (thousand metric tons of carbon dioxide),"3,641"
Dem. Rep. of the Congo,1995,Emissions (thousand metric tons of carbon dioxide),"2,123"
Dem. Rep. of the Congo,2005,Emissions (thousand metric tons of carbon dioxide),"1,500"
Dem. Rep. of the Congo,2010,Emissions (thousand metric tons of carbon dioxide),"2,021"
Dem. Rep. of the Congo,2012,Emissions (thousand metric tons of carbon dioxide),"2,402"
Dem. Rep. of the Congo,2013,Emissions (thousand metric tons of carbon dioxide),"3,590"
Dem. Rep. of the Congo,2014,Emissions (thousand metric tons of carbon dioxide),"4,672"
Dem. Rep. of the Congo,1975,Emissions per capita (metric tons of carbon dioxide),0.1
Dem. Rep. of the Congo,1985,Emissions per capita (metric tons of carbon dioxide),0.1
Dem. Rep. of the Congo,1995,Emissions per capita (metric tons of carbon dioxide),0
Dem. Rep. of the Congo,2005,Emissions per capita (metric tons of carbon dioxide),0
Dem. Rep. of the Congo,2010,Emissions per capita (metric tons of carbon dioxide),0
Dem. Rep. of the Congo,2012,Emissions per capita (metric tons of carbon dioxide),0
Dem. Rep. of the Congo,2013,Emissions per capita (metric tons of carbon dioxide),0
Dem. Rep. of the Congo,2014,Emissions per capita (metric tons of carbon dioxide),0.1
Denmark,1975,Emissions (thousand metric tons of carbon dioxide),"55,779"
Denmark,1985,Emissions (thousand metric tons of carbon dioxide),"60,073"
Denmark,1995,Emissions (thousand metric tons of carbon dioxide),"57,172"
Denmark,2005,Emissions (thousand metric tons of carbon dioxide),"47,095"
Denmark,2010,Emissions (thousand metric tons of carbon dioxide),"46,641"
Denmark,2012,Emissions (thousand metric tons of carbon dioxide),"36,428"
Denmark,2013,Emissions (thousand metric tons of carbon dioxide),"38,533"
Denmark,2014,Emissions (thousand metric tons of carbon dioxide),"33,498"
Denmark,1975,Emissions per capita (metric tons of carbon dioxide),11
Denmark,1985,Emissions per capita (metric tons of carbon dioxide),11.7
Denmark,1995,Emissions per capita (metric tons of carbon dioxide),10.9
Denmark,2005,Emissions per capita (metric tons of carbon dioxide),8.7
Denmark,2010,Emissions per capita (metric tons of carbon dioxide),8.4
Denmark,2012,Emissions per capita (metric tons of carbon dioxide),6.5
Denmark,2013,Emissions per capita (metric tons of carbon dioxide),6.9
Denmark,2014,Emissions per capita (metric tons of carbon dioxide),5.9
Djibouti,1975,Emissions (thousand metric tons of carbon dioxide),198
Djibouti,1985,Emissions (thousand metric tons of carbon dioxide),359
Djibouti,1995,Emissions (thousand metric tons of carbon dioxide),304
Djibouti,2005,Emissions (thousand metric tons of carbon dioxide),414
Djibouti,2010,Emissions (thousand metric tons of carbon dioxide),517
Djibouti,2012,Emissions (thousand metric tons of carbon dioxide),517
Djibouti,2013,Emissions (thousand metric tons of carbon dioxide),609
Djibouti,2014,Emissions (thousand metric tons of carbon dioxide),722
Djibouti,1975,Emissions per capita (metric tons of carbon dioxide),0.9
Djibouti,1985,Emissions per capita (metric tons of carbon dioxide),0.9
Djibouti,1995,Emissions per capita (metric tons of carbon dioxide),0.5
Djibouti,2005,Emissions per capita (metric tons of carbon dioxide),0.5
Djibouti,2010,Emissions per capita (metric tons of carbon dioxide),0.6
Djibouti,2012,Emissions per capita (metric tons of carbon dioxide),0.6
Djibouti,2013,Emissions per capita (metric tons of carbon dioxide),0.7
Djibouti,2014,Emissions per capita (metric tons of carbon dioxide),0.8
Dominica,1975,Emissions (thousand metric tons of carbon dioxide),29
Dominica,1985,Emissions (thousand metric tons of carbon dioxide),48
Dominica,1995,Emissions (thousand metric tons of carbon dioxide),81
Dominica,2005,Emissions (thousand metric tons of carbon dioxide),117
Dominica,2010,Emissions (thousand metric tons of carbon dioxide),139
Dominica,2012,Emissions (thousand metric tons of carbon dioxide),136
Dominica,2013,Emissions (thousand metric tons of carbon dioxide),132
Dominica,2014,Emissions (thousand metric tons of carbon dioxide),136
Dominica,1975,Emissions per capita (metric tons of carbon dioxide),0.4
Dominica,1985,Emissions per capita (metric tons of carbon dioxide),0.7
Dominica,1995,Emissions per capita (metric tons of carbon dioxide),1.1
Dominica,2005,Emissions per capita (metric tons of carbon dioxide),1.7
Dominica,2010,Emissions per capita (metric tons of carbon dioxide),1.9
Dominica,2012,Emissions per capita (metric tons of carbon dioxide),1.9
Dominica,2013,Emissions per capita (metric tons of carbon dioxide),1.8
Dominica,2014,Emissions per capita (metric tons of carbon dioxide),1.9
Dominican Republic,1975,Emissions (thousand metric tons of carbon dioxide),"6,340"
Dominican Republic,1985,Emissions (thousand metric tons of carbon dioxide),"7,294"
Dominican Republic,1995,Emissions (thousand metric tons of carbon dioxide),"15,885"
Dominican Republic,2005,Emissions (thousand metric tons of carbon dioxide),"18,639"
Dominican Republic,2010,Emissions (thousand metric tons of carbon dioxide),"21,023"
Dominican Republic,2012,Emissions (thousand metric tons of carbon dioxide),"22,123"
Dominican Republic,2013,Emissions (thousand metric tons of carbon dioxide),"21,441"
Dominican Republic,2014,Emissions (thousand metric tons of carbon dioxide),"21,540"
Dominican Republic,1975,Emissions per capita (metric tons of carbon dioxide),1.2
Dominican Republic,1985,Emissions per capita (metric tons of carbon dioxide),1.1
Dominican Republic,1995,Emissions per capita (metric tons of carbon dioxide),2
Dominican Republic,2005,Emissions per capita (metric tons of carbon dioxide),2
Dominican Republic,2010,Emissions per capita (metric tons of carbon dioxide),2.1
Dominican Republic,2012,Emissions per capita (metric tons of carbon dioxide),2.2
Dominican Republic,2013,Emissions per capita (metric tons of carbon dioxide),2.1
Dominican Republic,2014,Emissions per capita (metric tons of carbon dioxide),2.1
Ecuador,1975,Emissions (thousand metric tons of carbon dioxide),"7,363"
Ecuador,1985,Emissions (thousand metric tons of carbon dioxide),"19,431"
Ecuador,1995,Emissions (thousand metric tons of carbon dioxide),"22,842"
Ecuador,2005,Emissions (thousand metric tons of carbon dioxide),"30,264"
Ecuador,2010,Emissions (thousand metric tons of carbon dioxide),"36,461"
Ecuador,2012,Emissions (thousand metric tons of carbon dioxide),"38,140"
Ecuador,2013,Emissions (thousand metric tons of carbon dioxide),"40,997"
Ecuador,2014,Emissions (thousand metric tons of carbon dioxide),"43,920"
Ecuador,1975,Emissions per capita (metric tons of carbon dioxide),1.1
Ecuador,1985,Emissions per capita (metric tons of carbon dioxide),2.1
Ecuador,1995,Emissions per capita (metric tons of carbon dioxide),2
Ecuador,2005,Emissions per capita (metric tons of carbon dioxide),2.2
Ecuador,2010,Emissions per capita (metric tons of carbon dioxide),2.5
Ecuador,2012,Emissions per capita (metric tons of carbon dioxide),2.5
Ecuador,2013,Emissions per capita (metric tons of carbon dioxide),2.6
Ecuador,2014,Emissions per capita (metric tons of carbon dioxide),2.8
Egypt,1975,Emissions (thousand metric tons of carbon dioxide),"31,100"
Egypt,1985,Emissions (thousand metric tons of carbon dioxide),"63,938"
Egypt,1995,Emissions (thousand metric tons of carbon dioxide),"95,723"
Egypt,2005,Emissions (thousand metric tons of carbon dioxide),"167,208"
Egypt,2010,Emissions (thousand metric tons of carbon dioxide),"202,715"
Egypt,2012,Emissions (thousand metric tons of carbon dioxide),"217,068"
Egypt,2013,Emissions (thousand metric tons of carbon dioxide),"213,412"
Egypt,2014,Emissions (thousand metric tons of carbon dioxide),"201,894"
Egypt,1975,Emissions per capita (metric tons of carbon dioxide),0.8
Egypt,1985,Emissions per capita (metric tons of carbon dioxide),1.2
Egypt,1995,Emissions per capita (metric tons of carbon dioxide),1.5
Egypt,2005,Emissions per capita (metric tons of carbon dioxide),2.2
Egypt,2010,Emissions per capita (metric tons of carbon dioxide),2.5
Egypt,2012,Emissions per capita (metric tons of carbon dioxide),2.5
Egypt,2013,Emissions per capita (metric tons of carbon dioxide),2.4
Egypt,2014,Emissions per capita (metric tons of carbon dioxide),2.2
El Salvador,1975,Emissions (thousand metric tons of carbon dioxide),"2,109"
El Salvador,1985,Emissions (thousand metric tons of carbon dioxide),"1,988"
El Salvador,1995,Emissions (thousand metric tons of carbon dioxide),"5,027"
El Salvador,2005,Emissions (thousand metric tons of carbon dioxide),"6,454"
El Salvador,2010,Emissions (thousand metric tons of carbon dioxide),"6,458"
El Salvador,2012,Emissions (thousand metric tons of carbon dioxide),"6,663"
El Salvador,2013,Emissions (thousand metric tons of carbon dioxide),"6,230"
El Salvador,2014,Emissions (thousand metric tons of carbon dioxide),"6,285"
El Salvador,1975,Emissions per capita (metric tons of carbon dioxide),0.5
El Salvador,1985,Emissions per capita (metric tons of carbon dioxide),0.4
El Salvador,1995,Emissions per capita (metric tons of carbon dioxide),0.9
El Salvador,2005,Emissions per capita (metric tons of carbon dioxide),1.1
El Salvador,2010,Emissions per capita (metric tons of carbon dioxide),1.1
El Salvador,2012,Emissions per capita (metric tons of carbon dioxide),1.1
El Salvador,2013,Emissions per capita (metric tons of carbon dioxide),1
El Salvador,2014,Emissions per capita (metric tons of carbon dioxide),1
Equatorial Guinea,1975,Emissions (thousand metric tons of carbon dioxide),62
Equatorial Guinea,1985,Emissions (thousand metric tons of carbon dioxide),66
Equatorial Guinea,1995,Emissions (thousand metric tons of carbon dioxide),128
Equatorial Guinea,2005,Emissions (thousand metric tons of carbon dioxide),"4,712"
Equatorial Guinea,2010,Emissions (thousand metric tons of carbon dioxide),"4,679"
Equatorial Guinea,2012,Emissions (thousand metric tons of carbon dioxide),"5,115"
Equatorial Guinea,2013,Emissions (thousand metric tons of carbon dioxide),"5,163"
Equatorial Guinea,2014,Emissions (thousand metric tons of carbon dioxide),"5,346"
Equatorial Guinea,1975,Emissions per capita (metric tons of carbon dioxide),0.3
Equatorial Guinea,1985,Emissions per capita (metric tons of carbon dioxide),0.2
Equatorial Guinea,1995,Emissions per capita (metric tons of carbon dioxide),0.3
Equatorial Guinea,2005,Emissions per capita (metric tons of carbon dioxide),7.7
Equatorial Guinea,2010,Emissions per capita (metric tons of carbon dioxide),6.4
Equatorial Guinea,2012,Emissions per capita (metric tons of carbon dioxide),6.6
Equatorial Guinea,2013,Emissions per capita (metric tons of carbon dioxide),6.5
Equatorial Guinea,2014,Emissions per capita (metric tons of carbon dioxide),6.5
Eritrea,1995,Emissions (thousand metric tons of carbon dioxide),935
Eritrea,2005,Emissions (thousand metric tons of carbon dioxide),766
Eritrea,2010,Emissions (thousand metric tons of carbon dioxide),513
Eritrea,2012,Emissions (thousand metric tons of carbon dioxide),660
Eritrea,2013,Emissions (thousand metric tons of carbon dioxide),667
Eritrea,2014,Emissions (thousand metric tons of carbon dioxide),697
Eritrea,1995,Emissions per capita (metric tons of carbon dioxide),0.3
Eritrea,2005,Emissions per capita (metric tons of carbon dioxide),0.2
Eritrea,2010,Emissions per capita (metric tons of carbon dioxide),0.1
Eritrea,2012,Emissions per capita (metric tons of carbon dioxide),0.1
Eritrea,2013,Emissions per capita (metric tons of carbon dioxide),0.1
Eritrea,2014,Emissions per capita (metric tons of carbon dioxide),0.1
Estonia,1995,Emissions (thousand metric tons of carbon dioxide),"17,521"
Estonia,2005,Emissions (thousand metric tons of carbon dioxide),"16,755"
Estonia,2010,Emissions (thousand metric tons of carbon dioxide),"18,108"
Estonia,2012,Emissions (thousand metric tons of carbon dioxide),"17,624"
Estonia,2013,Emissions (thousand metric tons of carbon dioxide),"19,893"
Estonia,2014,Emissions (thousand metric tons of carbon dioxide),"19,519"
Estonia,1995,Emissions per capita (metric tons of carbon dioxide),12.2
Estonia,2005,Emissions per capita (metric tons of carbon dioxide),12.4
Estonia,2010,Emissions per capita (metric tons of carbon dioxide),13.6
Estonia,2012,Emissions per capita (metric tons of carbon dioxide),13.3
Estonia,2013,Emissions per capita (metric tons of carbon dioxide),15.1
Estonia,2014,Emissions per capita (metric tons of carbon dioxide),14.8
Ethiopia,1975,Emissions (thousand metric tons of carbon dioxide),"1,210"
Ethiopia,1985,Emissions (thousand metric tons of carbon dioxide),"1,815"
Ethiopia,1995,Emissions (thousand metric tons of carbon dioxide),"2,563"
Ethiopia,2005,Emissions (thousand metric tons of carbon dioxide),"5,119"
Ethiopia,2010,Emissions (thousand metric tons of carbon dioxide),"6,586"
Ethiopia,2012,Emissions (thousand metric tons of carbon dioxide),"8,562"
Ethiopia,2013,Emissions (thousand metric tons of carbon dioxide),"10,634"
Ethiopia,2014,Emissions (thousand metric tons of carbon dioxide),"11,599"
Ethiopia,1975,Emissions per capita (metric tons of carbon dioxide),0
Ethiopia,1985,Emissions per capita (metric tons of carbon dioxide),0
Ethiopia,1995,Emissions per capita (metric tons of carbon dioxide),0
Ethiopia,2005,Emissions per capita (metric tons of carbon dioxide),0.1
Ethiopia,2010,Emissions per capita (metric tons of carbon dioxide),0.1
Ethiopia,2012,Emissions per capita (metric tons of carbon dioxide),0.1
Ethiopia,2013,Emissions per capita (metric tons of carbon dioxide),0.1
Ethiopia,2014,Emissions per capita (metric tons of carbon dioxide),0.1
Falkland Islands (Malvinas),1975,Emissions (thousand metric tons of carbon dioxide),15
Falkland Islands (Malvinas),1985,Emissions (thousand metric tons of carbon dioxide),29
Falkland Islands (Malvinas),1995,Emissions (thousand metric tons of carbon dioxide),44
Falkland Islands (Malvinas),2005,Emissions (thousand metric tons of carbon dioxide),51
Falkland Islands (Malvinas),2010,Emissions (thousand metric tons of carbon dioxide),55
Falkland Islands (Malvinas),2012,Emissions (thousand metric tons of carbon dioxide),55
Falkland Islands (Malvinas),2013,Emissions (thousand metric tons of carbon dioxide),55
Falkland Islands (Malvinas),2014,Emissions (thousand metric tons of carbon dioxide),55
Falkland Islands (Malvinas),1975,Emissions per capita (metric tons of carbon dioxide),6.7
Falkland Islands (Malvinas),1985,Emissions per capita (metric tons of carbon dioxide),15.5
Falkland Islands (Malvinas),1995,Emissions per capita (metric tons of carbon dioxide),18.1
Falkland Islands (Malvinas),2005,Emissions per capita (metric tons of carbon dioxide),17.5
Falkland Islands (Malvinas),2010,Emissions per capita (metric tons of carbon dioxide),19.1
Falkland Islands (Malvinas),2012,Emissions per capita (metric tons of carbon dioxide),19.1
Falkland Islands (Malvinas),2013,Emissions per capita (metric tons of carbon dioxide),19
Falkland Islands (Malvinas),2014,Emissions per capita (metric tons of carbon dioxide),18.9
Faroe Islands,1975,Emissions (thousand metric tons of carbon dioxide),348
Faroe Islands,1985,Emissions (thousand metric tons of carbon dioxide),517
