T34,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Net official development assistance received: Total (as % GNI),1.1700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2010,Net official development assistance received: Total (as % GNI),0.6900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2015,Net official development assistance received: Total (as % GNI),0.6200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
1,"Total, all countries or areas",2016,Net official development assistance received: Total (as % GNI),0.6400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1975,Net official development assistance received: Bilateral  (millions of US dollars),5670.6200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),10076.2600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),16827.9200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),24081.1600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),30087.0900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),34917.5700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2016,Net official development assistance received: Bilateral  (millions of US dollars),31113.9500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2017,Net official development assistance received: Bilateral  (millions of US dollars),33433.3400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1975,Net official development assistance received: Multilateral (millions of US dollars),1104.8000,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),2246.9100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),5015.1900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),11740.0600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),17732.4100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),16136.9600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2016,Net official development assistance received: Multilateral (millions of US dollars),18794.3700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2017,Net official development assistance received: Multilateral (millions of US dollars),19454.8900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1975,Net official development assistance received: Total (millions of US dollars),6775.4200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1985,Net official development assistance received: Total (millions of US dollars),12323.1700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1995,Net official development assistance received: Total (millions of US dollars),21843.1100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2005,Net official development assistance received: Total (millions of US dollars),35821.2200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2010,Net official development assistance received: Total (millions of US dollars),47819.5000,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2015,Net official development assistance received: Total (millions of US dollars),51054.5300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2016,Net official development assistance received: Total (millions of US dollars),49908.3200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2017,Net official development assistance received: Total (millions of US dollars),52888.2300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1975,Net official development assistance received: Total (as % GNI),4.3100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1985,Net official development assistance received: Total (as % GNI),3.9900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,1995,Net official development assistance received: Total (as % GNI),4.5900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2005,Net official development assistance received: Total (as % GNI),3.7100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2010,Net official development assistance received: Total (as % GNI),2.5600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2015,Net official development assistance received: Total (as % GNI),2.3000,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2016,Net official development assistance received: Total (as % GNI),2.3400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
2,Africa,2017,Net official development assistance received: Total (as % GNI),2.4200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1975,Net official development assistance received: Bilateral  (millions of US dollars),3061.7400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),2848.9800,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),2703.3500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),1704.9700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
