T34,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
84,Belize,2015,Net official development assistance received: Total (as % GNI),1.6800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
84,Belize,2016,Net official development assistance received: Total (as % GNI),2.0400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
84,Belize,2017,Net official development assistance received: Total (as % GNI),2.0200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1975,Net official development assistance received: Bilateral  (millions of US dollars),36.0700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1985,Net official development assistance received: Bilateral  (millions of US dollars),61.9200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1995,Net official development assistance received: Bilateral  (millions of US dollars),228.7400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2005,Net official development assistance received: Bilateral  (millions of US dollars),174.7900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2010,Net official development assistance received: Bilateral  (millions of US dollars),388.0500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2015,Net official development assistance received: Bilateral  (millions of US dollars),249.9200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2016,Net official development assistance received: Bilateral  (millions of US dollars),244.3500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2017,Net official development assistance received: Bilateral  (millions of US dollars),377.2800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1975,Net official development assistance received: Multilateral (millions of US dollars),18.0400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1985,Net official development assistance received: Multilateral (millions of US dollars),31.9900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1995,Net official development assistance received: Multilateral (millions of US dollars),51.8200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2005,Net official development assistance received: Multilateral (millions of US dollars),174.2900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2010,Net official development assistance received: Multilateral (millions of US dollars),301.2200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2015,Net official development assistance received: Multilateral (millions of US dollars),180.2200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2016,Net official development assistance received: Multilateral (millions of US dollars),248.7700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2017,Net official development assistance received: Multilateral (millions of US dollars),298.5600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1975,Net official development assistance received: Total (millions of US dollars),54.1100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1985,Net official development assistance received: Total (millions of US dollars),93.9100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1995,Net official development assistance received: Total (millions of US dollars),280.5600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2005,Net official development assistance received: Total (millions of US dollars),349.0800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2010,Net official development assistance received: Total (millions of US dollars),689.2700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2015,Net official development assistance received: Total (millions of US dollars),430.1400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2016,Net official development assistance received: Total (millions of US dollars),493.1200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2017,Net official development assistance received: Total (millions of US dollars),675.8400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1975,Net official development assistance received: Total (as % GNI),8.0000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1985,Net official development assistance received: Total (as % GNI),9.1700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,1995,Net official development assistance received: Total (as % GNI),13.2000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2005,Net official development assistance received: Total (as % GNI),7.2900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2010,Net official development assistance received: Total (as % GNI),9.9600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2015,Net official development assistance received: Total (as % GNI),5.2100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2016,Net official development assistance received: Total (as % GNI),5.7500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
204,Benin,2017,Net official development assistance received: Total (as % GNI),7.3000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1985,Net official development assistance received: Multilateral (millions of US dollars),0.3400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1995,Net official development assistance received: Multilateral (millions of US dollars),0.0000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1975,Net official development assistance received: Total (millions of US dollars),0.0200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1985,Net official development assistance received: Total (millions of US dollars),0.9400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1995,Net official development assistance received: Total (millions of US dollars),-2.0800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1975,Net official development assistance received: Total (as % GNI),0.0100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1985,Net official development assistance received: Total (as % GNI),0.0900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
60,Bermuda,1995,Net official development assistance received: Total (as % GNI),-0.1000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1975,Net official development assistance received: Bilateral  (millions of US dollars),0.3700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1985,Net official development assistance received: Bilateral  (millions of US dollars),6.1700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1995,Net official development assistance received: Bilateral  (millions of US dollars),59.9300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2005,Net official development assistance received: Bilateral  (millions of US dollars),40.4800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2010,Net official development assistance received: Bilateral  (millions of US dollars),53.3000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2015,Net official development assistance received: Bilateral  (millions of US dollars),58.9600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2016,Net official development assistance received: Bilateral  (millions of US dollars),31.7200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2017,Net official development assistance received: Bilateral  (millions of US dollars),-42.2800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1975,Net official development assistance received: Multilateral (millions of US dollars),1.7300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1985,Net official development assistance received: Multilateral (millions of US dollars),14.4800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1995,Net official development assistance received: Multilateral (millions of US dollars),9.5300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2005,Net official development assistance received: Multilateral (millions of US dollars),38.2900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2010,Net official development assistance received: Multilateral (millions of US dollars),43.9400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2015,Net official development assistance received: Multilateral (millions of US dollars),38.3200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2016,Net official development assistance received: Multilateral (millions of US dollars),19.8800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2017,Net official development assistance received: Multilateral (millions of US dollars),160.8200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1975,Net official development assistance received: Total (millions of US dollars),2.1000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1985,Net official development assistance received: Total (millions of US dollars),20.6500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1995,Net official development assistance received: Total (millions of US dollars),69.4600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2005,Net official development assistance received: Total (millions of US dollars),78.7700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2010,Net official development assistance received: Total (millions of US dollars),97.2400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2015,Net official development assistance received: Total (millions of US dollars),97.2800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2016,Net official development assistance received: Total (millions of US dollars),51.6000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2017,Net official development assistance received: Total (millions of US dollars),118.5400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1985,Net official development assistance received: Total (as % GNI),14.9600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,1995,Net official development assistance received: Total (as % GNI),26.1100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2005,Net official development assistance received: Total (as % GNI),9.7600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2010,Net official development assistance received: Total (as % GNI),6.5000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2015,Net official development assistance received: Total (as % GNI),5.1800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2016,Net official development assistance received: Total (as % GNI),2.5400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
64,Bhutan,2017,Net official development assistance received: Total (as % GNI),5.1000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1975,Net official development assistance received: Bilateral  (millions of US dollars),18.4300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1985,Net official development assistance received: Bilateral  (millions of US dollars),129.1300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1995,Net official development assistance received: Bilateral  (millions of US dollars),525.7900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2005,Net official development assistance received: Bilateral  (millions of US dollars),385.9000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2010,Net official development assistance received: Bilateral  (millions of US dollars),412.0000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2015,Net official development assistance received: Bilateral  (millions of US dollars),588.7400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2016,Net official development assistance received: Bilateral  (millions of US dollars),523.6700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2017,Net official development assistance received: Bilateral  (millions of US dollars),787.0100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1975,Net official development assistance received: Multilateral (millions of US dollars),28.9700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1985,Net official development assistance received: Multilateral (millions of US dollars),30.0700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1995,Net official development assistance received: Multilateral (millions of US dollars),153.0300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2005,Net official development assistance received: Multilateral (millions of US dollars),156.9800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2010,Net official development assistance received: Multilateral (millions of US dollars),148.2700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2015,Net official development assistance received: Multilateral (millions of US dollars),202.5700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2016,Net official development assistance received: Multilateral (millions of US dollars),172.7800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2017,Net official development assistance received: Multilateral (millions of US dollars),162.1400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1975,Net official development assistance received: Total (millions of US dollars),47.4000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1985,Net official development assistance received: Total (millions of US dollars),159.2000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1995,Net official development assistance received: Total (millions of US dollars),678.8200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2005,Net official development assistance received: Total (millions of US dollars),542.8800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2010,Net official development assistance received: Total (millions of US dollars),560.2700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2015,Net official development assistance received: Total (millions of US dollars),791.3100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2016,Net official development assistance received: Total (millions of US dollars),696.4500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2017,Net official development assistance received: Total (millions of US dollars),949.1500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1975,Net official development assistance received: Total (as % GNI),1.8900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1985,Net official development assistance received: Total (as % GNI),3.2200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),1995,Net official development assistance received: Total (as % GNI),10.4500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2005,Net official development assistance received: Total (as % GNI),5.9200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2010,Net official development assistance received: Total (as % GNI),2.9800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2015,Net official development assistance received: Total (as % GNI),2.4800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2016,Net official development assistance received: Total (as % GNI),2.0900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
68,Bolivia (Plurin. State of),2017,Net official development assistance received: Total (as % GNI),2.6100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,1995,Net official development assistance received: Bilateral  (millions of US dollars),899.5900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2005,Net official development assistance received: Bilateral  (millions of US dollars),308.9800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2010,Net official development assistance received: Bilateral  (millions of US dollars),289.5700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2015,Net official development assistance received: Bilateral  (millions of US dollars),118.6700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2016,Net official development assistance received: Bilateral  (millions of US dollars),196.1900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2017,Net official development assistance received: Bilateral  (millions of US dollars),85.3700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,1995,Net official development assistance received: Multilateral (millions of US dollars),66.2100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2005,Net official development assistance received: Multilateral (millions of US dollars),230.9100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2010,Net official development assistance received: Multilateral (millions of US dollars),221.6100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2015,Net official development assistance received: Multilateral (millions of US dollars),236.3600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2016,Net official development assistance received: Multilateral (millions of US dollars),249.2200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2017,Net official development assistance received: Multilateral (millions of US dollars),355.1900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,1995,Net official development assistance received: Total (millions of US dollars),965.8000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2005,Net official development assistance received: Total (millions of US dollars),539.8900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2010,Net official development assistance received: Total (millions of US dollars),511.1800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2015,Net official development assistance received: Total (millions of US dollars),355.0300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2016,Net official development assistance received: Total (millions of US dollars),445.4100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2017,Net official development assistance received: Total (millions of US dollars),440.5600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,1995,Net official development assistance received: Total (as % GNI),59.4300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2005,Net official development assistance received: Total (as % GNI),4.6200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2010,Net official development assistance received: Total (as % GNI),2.9300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2015,Net official development assistance received: Total (as % GNI),2.1800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2016,Net official development assistance received: Total (as % GNI),2.6300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
70,Bosnia and Herzegovina,2017,Net official development assistance received: Total (as % GNI),2.4300,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,1975,Net official development assistance received: Bilateral  (millions of US dollars),38.8600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,1985,Net official development assistance received: Bilateral  (millions of US dollars),71.4700,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,1995,Net official development assistance received: Bilateral  (millions of US dollars),70.9400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2005,Net official development assistance received: Bilateral  (millions of US dollars),8.3600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2010,Net official development assistance received: Bilateral  (millions of US dollars),94.7800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2015,Net official development assistance received: Bilateral  (millions of US dollars),41.2400,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2016,Net official development assistance received: Bilateral  (millions of US dollars),65.1600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2017,Net official development assistance received: Bilateral  (millions of US dollars),62.7600,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,1975,Net official development assistance received: Multilateral (millions of US dollars),12.0800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,1985,Net official development assistance received: Multilateral (millions of US dollars),24.1500,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,1995,Net official development assistance received: Multilateral (millions of US dollars),18.7200,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2005,Net official development assistance received: Multilateral (millions of US dollars),39.9100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2010,Net official development assistance received: Multilateral (millions of US dollars),59.8900,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
72,Botswana,2015,Net official development assistance received: Multilateral (millions of US dollars),24.3000,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
