T08,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2010,Teachers at tertiary level (thousands),209.4663,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Teachers at primary level (thousands),1176.2087,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Pupil-teacher ratio in primary education,21.9235,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Teachers at secondary level (thousands),1202.4673,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Pupil-teacher ratio in secondary education,15.7193,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2015,Teachers at tertiary level (thousands),257.8716,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Teachers at primary level (thousands),1196.5046,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Pupil-teacher ratio in primary education,22.9262,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Teachers at secondary level (thousands),1217.6973,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Pupil-teacher ratio in secondary education,16.1016,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
15,Northern Africa,2017,Teachers at tertiary level (thousands),261.6881,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Teachers at primary level (thousands),2576.5327,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in primary education,44.0134,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Teachers at secondary level (thousands),1177.9569,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in secondary education,27.1807,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2005,Teachers at tertiary level (thousands),177.8010,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Teachers at primary level (thousands),3167.6605,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in primary education,42.8994,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Teachers at secondary level (thousands),1889.6989,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in secondary education,23.7704,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2010,Teachers at tertiary level (thousands),261.2495,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Teachers at primary level (thousands),4060.6161,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in primary education,38.6029,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,Teachers at secondary level (thousands),2695.0617,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
